iso3c,year,Total_Access,Urban_Access,Rural_Access,Country Name,BEC (toe/m2),BCE (tCO2e/m2),DBE (tCO2e/m2),total_building_stock_m2,Building Energy Consumption (toe),Building Carbon Emissions (tCO2e),Direct Building Emissions (tCO2e)
UKR,2047,100,100,100,Ukraine,0.0050619518177380364,0.15605902165711769,0.05882598635673285,811994541.8425982,4110277.247073504,126719073.79087539,47766379.84017422
UKR,2048,100,100,100,Ukraine,0.0050619518177380364,0.15605902165711769,0.05882598635673285,828286062.3853841,4192744.1390987756,129261512.54808939,48724744.60535458
UKR,2049,100,100,100,Ukraine,0.0050619518177380364,0.15605902165711769,0.05882598635673285,844904449.2159574,4276865.61252367,131854961.73838818,49702337.60232079
UKR,2050,100,100,100,Ukraine,0.0050619518177380364,0.15605902165711769,0.05882598635673285,861856260.4434785,4362674.864180773,134500444.81387126,50699544.61831286
URY,2020,100,100,100,Uruguay,0.0022557288936370474,0.012105879572291848,0.010088232976909873,49562693.60000001,111799.99999999999,600000,500000
URY,2021,100,100,100,Uruguay,0.0022557288936370474,0.012105879572291848,0.010088232976909873,51351078.50275183,115834.11149808155,621649.9722616184,518041.64355134865
URY,2022,100,100,100,Uruguay,0.0022557288936370474,0.012105879572291848,0.010088232976909873,53203994.211399764,120013.78699955267,644081.1466881181,536734.288906765
URY,2023,100,100,100,Uruguay,0.0022557288936370474,0.012105879572291848,0.010088232976909873,55123769.209539935,124344.27893213945,667321.7116214999,556101.4263512499
URY,2024,100,100,100,Uruguay,0.0022557288936370474,0.012105879572291848,0.010088232976909873,57112816.000110604,128831.02924842575,691400.8725318019,576167.3937765016
URY,2025,100,100,100,Uruguay,0.0022557288936370474,0.012105879572291848,0.010088232976909873,59173634.137086086,133479.6762645326,716348.8887184219,596957.4072653516
URY,2026,100,100,100,Uruguay,0.0022557288936370474,0.012105879572291848,0.010088232976909873,60356301.9353463,136147.4541886423,730666.1226581876,608888.4355484897
URY,2027,100,100,100,Uruguay,0.0022557288936370474,0.012105879572291848,0.010088232976909873,61562607.00283018,138868.55138390645,745269.5065325929,621057.9221104941
URY,2028,100,100,100,Uruguay,0.0022557288936370474,0.012105879572291848,0.010088232976909873,62793021.7634062,141644.03351049533,760164.7594480965,633470.6328734139
URY,2029,100,100,100,Uruguay,0.0022557288936370474,0.012105879572291848,0.010088232976909873,64048028.082994215,144474.98752728707,775357.7148154943,646131.4290129119
URY,2030,100,100,100,Uruguay,0.0022557288936370474,0.012105879572291848,0.010088232976909873,65328117.45827816,147362.52211755287,790854.3226344519,659045.2688620433
URY,2031,100,100,100,Uruguay,0.0022557288936370474,0.012105879572291848,0.010088232976909873,66507734.64989588,150023.41870011596,805134.6262975811,670945.521914651
URY,2032,100,100,100,Uruguay,0.0022557288936370474,0.012105879572291848,0.010088232976909873,67708651.96116956,152732.3625780249,819672.7866441408,683060.6555367841
URY,2033,100,100,100,Uruguay,0.0022557288936370474,0.012105879572291848,0.010088232976909873,68931254.00424337,155490.22133200621,834473.4597424305,695394.5497853587
URY,2034,100,100,100,Uruguay,0.0022557288936370474,0.012105879572291848,0.010088232976909873,70175932.33612864,158297.87820852376,849541.3857344746,707951.1547787288
URY,2035,100,100,100,Uruguay,0.0022557288936370474,0.012105879572291848,0.010088232976909873,71443085.58410595,161156.2324026522,864881.3903541265,720734.4919617721
URY,2036,100,100,100,Uruguay,0.0022557288936370474,0.012105879572291848,0.010088232976909873,72529638.47753857,163607.2011588331,878035.0688309469,731695.8906924558
URY,2037,100,100,100,Uruguay,0.0022557288936370474,0.012105879572291848,0.010088232976909873,73632716.37378393,166095.44584132615,891388.7970017503,742823.9975014586
URY,2038,100,100,100,Uruguay,0.0022557288936370474,0.012105879572291848,0.010088232976909873,74752570.5958283,168621.53336665305,904945.617352342,754121.3477936183
URY,2039,100,100,100,Uruguay,0.0022557288936370474,0.012105879572291848,0.010088232976909873,75889456.28894137,171186.03927337078,918708.6186406304,765590.5155338587
URY,2040,100,100,100,Uruguay,0.0022557288936370474,0.012105879572291848,0.010088232976909873,77043632.47880794,173789.54785320073,932680.9366003617,777234.1138336349
URY,2041,100,100,100,Uruguay,0.0022557288936370474,0.012105879572291848,0.010088232976909873,78090143.1407969,176150.19219094847,945349.8686455195,787791.5572045996
URY,2042,100,100,100,Uruguay,0.0022557288936370474,0.012105879572291848,0.010088232976909873,79150868.92388564,178542.9019880875,958190.8872348168,798492.406029014
URY,2043,100,100,100,Uruguay,0.0022557288936370474,0.012105879572291848,0.010088232976909873,80226002.9170462,180968.11280099116,971206.3298800958,809338.6082334132
URY,2044,100,100,100,Uruguay,0.0022557288936370474,0.012105879572291848,0.010088232976909873,81315740.8320457,183426.26610234735,984398.5658444401,820332.1382037002
URY,2045,100,100,100,Uruguay,0.0022557288936370474,0.012105879572291848,0.010088232976909873,82420281.03907284,185917.8093615223,997769.996573465,831474.9971445542
URY,2046,100,100,100,Uruguay,0.0022557288936370474,0.012105879572291848,0.010088232976909873,83440498.16854703,188219.1426182607,1010120.6222804688,841767.1852337241
URY,2047,100,100,100,Uruguay,0.0022557288936370474,0.012105879572291848,0.010088232976909873,84473343.77948414,190548.96230551772,1022624.1268632436,852186.7723860363
URY,2048,100,100,100,Uruguay,0.0022557288936370474,0.012105879572291848,0.010088232976909873,85518974.19012222,192907.6210348596,1035282.4026915543,862735.3355762953
URY,2049,100,100,100,Uruguay,0.0022557288936370474,0.012105879572291848,0.010088232976909873,86577547.65364218,195295.47578255902,1048097.3655593508,873414.471299459
URY,2050,100,100,100,Uruguay,0.0022557288936370474,0.012105879572291848,0.010088232976909873,87649224.38211921,197712.8879436231,1061070.9549747214,884225.7958122679
USA,2020,100,100,100,United States,0.002828559952421584,0.11047311928769786,0.031134072617504255,15992125608.394379,45234686.05,1766700000,497900000
USA,2021,100,100,100,United States,0.002828559952421584,0.11047311928769786,0.031134072617504255,16349770492.777388,46246306.047154225,1806210145.975079,509034941.8016595
USA,2022,100,100,100,United States,0.002828559952421584,0.11047311928769786,0.031134072617504255,16715413679.978765,47280549.72334783,1846603889.4115107,520418903.3440829
USA,2023,100,100,100,United States,0.002828559952421584,0.11047311928769786,0.031134072617504255,17089234042.53596,48337923.03027683,1887900990.9164622,532057453.6578404
USA,2024,100,100,100,United States,0.002828559952421584,0.11047311928769786,0.031134072617504255,17471414453.25815,49418943.23464564,1930121653.0195959,543956286.3182526
USA,2025,100,100,100,United States,0.002828559952421584,0.11047311928769786,0.031134072617504255,17862141874.687553,50524139.171213806,1973286530.0561411,556121222.2306858
USA,2026,100,100,100,United States,0.002828559952421584,0.11047311928769786,0.031134072617504255,18203973251.46629,51491029.71405128,2011049708.5192964,566763825.1382565
USA,2027,100,100,100,United States,0.002828559952421584,0.11047311928769786,0.031134072617504255,18552346323.57867,52476423.83433043,2049535568.4713893,577610097.6633865
USA,2028,100,100,100,United States,0.002828559952421584,0.11047311928769786,0.031134072617504255,18907386280.754894,53480675.63870857,2088757940.0124173,588663937.4722266
USA,2029,100,100,100,United States,0.002828559952421584,0.11047311928769786,0.031134072617504255,19269220708.50607,54504146.010452926,2128730917.911769,599929316.8213447
USA,2030,100,100,100,United States,0.002828559952421584,0.11047311928769786,0.031134072617504255,19637979633.972687,55547202.73912582,2169468866.673246,611410283.9851753
