Country,Year,Total_Access,Urban_Access,Rural_Access
BLZ,2031,92.57119767,100,82.22337836
BLZ,2032,93.49422213,100,83.04548555
BLZ,2033,94.42645003,100,83.87581254
BLZ,2034,95.36797314,100,84.71444153
BLZ,2035,96.31888416,100,85.56145551
BLZ,2036,97.27927667,100,86.41693833
BLZ,2037,98.24924523,100,87.28097466
BLZ,2038,99.22888531,100,88.15365002
BLZ,2039,100,100,89.03505079
BLZ,2040,100,100,89.92526422
BLZ,2041,100,100,90.8243784
BLZ,2042,100,100,91.73248235
BLZ,2043,100,100,92.64966594
BLZ,2044,100,100,93.57601995
BLZ,2045,100,100,94.51163607
BLZ,2046,100,100,95.45660691
BLZ,2047,100,100,96.41102601
BLZ,2048,100,100,97.37498783
BLZ,2049,100,100,98.34858778
BLZ,2050,100,100,99.33192224
BOL,2020,87.3,99,62.5
BOL,2021,88.17755778,99.99149686,63.14324744
BOL,2022,89.06393695,100,63.79311515
BOL,2023,89.95922618,100,64.44967128
BOL,2024,90.86351505,100,65.11298466
BOL,2025,91.77689402,100,65.78312483
BOL,2026,92.69945447,100,66.46016205
BOL,2027,93.63128869,100,67.14416731
BOL,2028,94.5724899,100,67.83521233
BOL,2029,95.52315225,100,68.53336956
BOL,2030,96.48337087,100,69.23871219
BOL,2031,97.4532418,100,69.95131418
BOL,2032,98.43286208,100,70.67125024
BOL,2033,99.4223297,100,71.39859585
BOL,2034,100,100,72.13342727
BOL,2035,100,100,72.87582155
BOL,2036,100,100,73.62585652
BOL,2037,100,100,74.38361081
BOL,2038,100,100,75.14916389
BOL,2039,100,100,75.922596
BOL,2040,100,100,76.70398825
BOL,2041,100,100,77.49342255
BOL,2042,100,100,78.29098168
BOL,2043,100,100,79.09674926
BOL,2044,100,100,79.91080976
BOL,2045,100,100,80.73324854
BOL,2046,100,100,81.56415182
BOL,2047,100,100,82.40360673
BOL,2048,100,100,83.25170128
BOL,2049,100,100,84.10852437
BOL,2050,100,100,84.97416586
BRA,2020,96.4,98.9,80.8
BRA,2021,97.36702632,99.88907944,81.61801646
BRA,2022,98.34375325,100,82.4443145
BRA,2023,99.33027812,100,83.27897794
BRA,2024,100,100,84.12209149
BRA,2025,100,100,84.9737407
BRA,2026,100,100,85.83401197
BRA,2027,100,100,86.7029926
BRA,2028,100,100,87.58077076
BRA,2029,100,100,88.46743552
BRA,2030,100,100,89.36307684
BRA,2031,100,100,90.2677856
BRA,2032,100,100,91.1816536
BRA,2033,100,100,92.10477357
BRA,2034,100,100,93.03723918
BRA,2035,100,100,93.97914504
BRA,2036,100,100,94.93058672
BRA,2037,100,100,95.89166076
BRA,2038,100,100,96.86246469
BRA,2039,100,100,97.843097
