Country,iso3c,year,urb_land_2.1,density_2.2,Embodied_Building_4.1,Average_4.2,Construction_5.1,Const_Import_5.2,Ratio_5.3
Myanmar,MMR,2044,3096.9743912,8649.535519607754,3164533558.1860332,4.940367489696001,10728768.865362406,360767.2826203493,0.9674677752246675
Myanmar,MMR,2045,3144.1951655000003,8660.91561325505,3269401730.6478343,4.9403674896959995,11084305.112012468,372722.6008107789,0.9674677752246675
Myanmar,MMR,2046,3191.4159398,8670.735974870811,3370425550.2300715,4.940367489696,11426807.787451051,384239.65006953396,0.9674677752246675
Myanmar,MMR,2047,3238.6367141,8679.004001166924,3474570984.396197,4.940367489696,11779893.722868232,396112.5737060166,0.9674677752246675
Myanmar,MMR,2048,3285.8574884,8685.774139856941,3581934490.374326,4.940367489696,12143889.938751176,408352.36816296837,0.9674677752246675
Myanmar,MMR,2049,3333.0782627000003,8691.116054542921,3692615505.9004483,4.9403674896959995,12519133.560450684,420970.3696708774,0.9674677752246675
Myanmar,MMR,2050,3380.299037,8695.084274581,3809631737.117706,4.9403674896959995,12915855.565492528,434310.6067018676,0.9674677752246675
Montenegro,MNE,2020,NA,NA,54993160.49255427,3.3845342345201397,902243.0845132157,17398.981155444784,0.9810807032377382
Montenegro,MNE,2021,NA,NA,58518029.89597638,3.3845342345201392,960073.7131689449,18514.19504343089,0.9810807032377382
Montenegro,MNE,2022,NA,NA,62268831.109825425,3.3845342345201397,1021611.083021279,19700.890244308,0.9810807032377382
Montenegro,MNE,2023,NA,NA,66260045.57358769,3.3845342345201397,1087092.7832270018,20963.648460427266,0.9810807032377382
Montenegro,MNE,2024,NA,NA,70507082.93641241,3.3845342345201397,1156771.631577546,22307.345065248912,0.9810807032377382
Montenegro,MNE,2025,NA,NA,75026340.55210724,3.3845342345201397,1230916.6506012555,23737.167926634025,0.9810807032377382
Montenegro,MNE,2026,NA,NA,76791947.24844638,3.3845342345201392,1259884.006131911,24295.778440421305,0.9810807032377382
Montenegro,MNE,2027,NA,NA,78599104.2454295,3.3845342345201397,1289533.055005515,24867.534823466365,0.9810807032377382
Montenegro,MNE,2028,NA,NA,80448789.35282998,3.3845342345201392,1319879.8396189422,25452.74643958225,0.9810807032377382
Montenegro,MNE,2029,NA,NA,82342003.39137267,3.38453423452014,1350940.7798973196,26051.729932889335,0.9810807032377382
Montenegro,MNE,2030,NA,NA,84985612.06167333,3.3845342345201397,1394313.0396397088,26888.126623404318,0.9810807032377382
Montenegro,MNE,2031,NA,NA,86655377.84923342,3.3845342345201397,1421707.9851400102,27416.41456342366,0.9810807032377382
Montenegro,MNE,2032,NA,NA,88357950.57572898,3.3845342345201397,1449641.1763696617,27955.082108964736,0.9810807032377382
Montenegro,MNE,2033,NA,NA,90093974.81972937,3.38453423452014,1478123.1885811384,28504.33319466743,0.9810807032377382
Montenegro,MNE,2034,NA,NA,91864107.82424441,3.3845342345201397,1507164.8048055512,29064.37576200374,0.9810807032377382
Montenegro,MNE,2035,NA,NA,93847194.84416412,3.3845342345201392,1539700.242552446,29691.7936696154,0.9810807032377382
Montenegro,MNE,2036,NA,NA,95443593.87774612,3.3845342345201392,1565891.4993427873,30196.869509103188,0.9810807032377382
Montenegro,MNE,2037,NA,NA,97067148.64974582,3.3845342345201392,1592528.2856675794,30710.53700211225,0.9810807032377382
Montenegro,MNE,2038,NA,NA,98718321.09612873,3.3845342345201397,1619618.180260734,31232.942298001646,0.9810807032377382
Montenegro,MNE,2039,NA,NA,100397581.01067798,3.3845342345201392,1647168.8907751343,31764.234032221797,0.9810807032377382
Montenegro,MNE,2040,NA,NA,102270653.03986003,3.3845342345201397,1677899.3719838557,32356.84490685849,0.9810807032377382
Montenegro,MNE,2041,NA,NA,103772737.96258381,3.3845342345201392,1702543.2680927655,32832.081227707655,0.9810807032377382
Montenegro,MNE,2042,NA,NA,105296884.53298469,3.3845342345201392,1727549.117740467,33314.297510951306,0.9810807032377382
Montenegro,MNE,2043,NA,NA,106843416.77821383,3.3845342345201397,1752922.2370654347,33803.596273743315,0.9810807032377382
Montenegro,MNE,2044,NA,NA,108412663.48452261,3.384534234520139,1778668.0202861312,34300.08153894292,0.9810807032377382
Montenegro,MNE,2045,NA,NA,110162897.75784317,3.3845342345201392,1807383.168774374,34853.82845703905,0.9810807032377382
Montenegro,MNE,2046,NA,NA,111578318.18242666,3.3845342345201397,1830605.2072664537,35301.645477806465,0.9810807032377382
