Country.Name,iso3c,year,total_building_stock_m2,Construction Comparative,Total_Cost,Construction_Intensity,Building_Intensity,Embodied_Carbon_Buildings,Embodied_Carbon_Construction
Bulgaria,BGR,2021,325151334.98476,674.51,219317826960.57047,771386.38877,15132957.05844,3318927257.5446873,169178786.5319982
Bulgaria,BGR,2020,313163057.586,674.51,211231613972.3329,771386.38877,15132957.05844,3196558943.6282883,162941191.89617652
Burkina Faso,BFA,2020,89022070.726,657.62,58542694150.832115,899792.8,62727133,3672215362.1775684,52676294.68952086
Burkina Faso,BFA,2021,93664633.4363005,657.62,61595736240.37994,899792.8,62727133,3863723939.383232,55423399.97979294
Burkina Faso,BFA,2022,98549309.0107852,657.62,64807996591.67257,899792.8,62727133,4065219821.669392,58313768.71561152
Burkina Faso,BFA,2023,103688723.803186,657.62,68187778547.45118,899792.8,62727133,4277223853.9205165,61354872.184991024
Burkina Faso,BFA,2024,109096162.640336,657.62,71743818475.53777,899792.8,62727133,4500284043.442914,64554571.308795854
Burkina Faso,BFA,2025,114785603.162,657.62,75485308351.39444,899792.8,62727133,4734976976.50393,67921136.9603646
Burkina Faso,BFA,2026,122982492.172961,657.62,80875746502.78261,899792.8,62727133,5073103707.35433,72771414.39782898
Burkina Faso,BFA,2027,131764724.533673,657.62,86651118147.83405,899792.8,62727133,5435376212.6579,77968052.22137041
Burkina Faso,BFA,2028,141174099.863069,657.62,92838911551.95143,899792.8,62727133,5823518752.494494,83535784.17428273
Burkina Faso,BFA,2029,151255402.708747,657.62,99468577929.3262,899792.8,62727133,6239378717.093709,89501110.24704663
Burkina Faso,BFA,2030,162056615.702,657.62,106571671617.94923,899792.8,62727133,6684935419.611426,95892422.80579507
Burkina Faso,BFA,2031,172913014.858805,657.62,113711056831.44734,899792.8,62727133,7132768585.436756,102316390.21732713
Burkina Faso,BFA,2032,184496699.366728,657.62,121328719437.54767,899792.8,62727133,7610602720.878737,109170708.18312544
Burkina Faso,BFA,2033,196856391.087809,657.62,129456699907.16495,899792.8,62727133,8120447632.817823,116484206.4882277
Burkina Faso,BFA,2034,210044075.82971,657.62,138129185147.13388,899792.8,62727133,8664447767.905891,124287646.26525803
Burkina Faso,BFA,2035,224115222.002,657.62,147382652292.95523,899792.8,62727133,9244891232.272957,132613849.37810461
Burkina Faso,BFA,2036,238364130.424496,657.62,156753019449.75705,899792.8,62727133,9832667499.176498,141045238.27915138
Burkina Faso,BFA,2037,253518962.993594,657.62,166719140443.8473,899792.8,62727133,10457813696.266888,150012682.1935626
Burkina Faso,BFA,2038,269637317.002719,657.62,177318892407.32806,899792.8,62727133,11122705747.447159,159550262.69208848
Burkina Faso,BFA,2039,286780451.694502,657.62,188592560643.3384,899792.8,62727133,11829870634.285254,169694228.2004393
Burkina Faso,BFA,2040,305013521.082,657.62,200582991733.94485,899792.8,62727133,12581996000.03306,180483131.76466313
Burkina Faso,BFA,2041,323403420.466364,657.62,212676557367.0903,899792.8,62727133,13340590699.947603,191364835.04769483
Burkina Faso,BFA,2042,342902085.121748,657.62,225499269217.76392,899792.8,62727133,14144922651.625483,202902618.8474056
Burkina Faso,BFA,2043,363576364.811738,657.62,239095089027.49515,899792.8,62727133,14997749449.07453,215136039.62229916
Burkina Faso,BFA,2044,385497139.811163,657.62,253510629082.617,899792.8,62727133,15901994947.378984,228107038.7720094
Burkina Faso,BFA,2045,408739563.914,657.62,268795312021.12466,899792.8,62727133,16860759286.925585,241860086.43036142
Burkina Faso,BFA,2046,432108373.344581,657.62,284163108478.86334,899792.8,62727133,17824737099.247086,255687919.0349002
Burkina Faso,BFA,2047,456813244.420318,657.62,300409525795.6895,899792.8,62727133,18843828279.053146,270306328.3623757
Burkina Faso,BFA,2048,482930563.605182,657.62,317584797238.0398,899792.8,62727133,19921183815.128555,285760513.9442481
Burkina Faso,BFA,2049,510541084.595675,657.62,335742028051.8078,899792.8,62727133,21060134847.295475,302098259.4984147
Burkina Faso,BFA,2050,539730178.008,657.62,354937359661.621,899792.8,62727133,22264202966.163338,319370080.674537
Burundi,BDI,2020,17154626.974,776.65,13323141039.3571,899792.8,62727133,835722439.953511,11988066.380598035
Burundi,BDI,2021,17834180.8912695,776.65,13850916589.204458,899792.8,62727133,868828287.0629344,12462955.02036673
Burundi,BDI,2022,18540654.2820534,776.65,14399599148.156773,899792.8,62727133,903245570.9131166,12956655.636397598
Burundi,BDI,2023,19275113.519506,776.65,14970016914.924334,899792.8,62727133,939026242.0347084,13469913.43592713
Burundi,BDI,2024,20038667.2194988,776.65,15563030896.02374,899792.8,62727133,976224308.8979903,14003503.146419711
Burundi,BDI,2025,20832467.914,776.65,16179536205.4081,899792.8,62727133,1014895919.4349492,14558230.18496553
Burundi,BDI,2026,21985325.3339706,776.65,17074902920.628265,899792.8,62727133,1071059706.4643376,15363874.708680285
Burundi,BDI,2027,23201981.2552167,776.65,18019818741.864048,899792.8,62727133,1130331566.856799,16214103.161234329
Burundi,BDI,2028,24485966.2520264,776.65,19017025689.636303,899792.8,62727133,1192883499.6982331,17111382.79294978
Burundi,BDI,2029,25841006.2787449,776.65,20069417526.387226,899792.8,62727133,1258897022.4102228,18058317.390437037
Burundi,BDI,2030,27271033.482,776.65,21180048153.7953,899792.8,62727133,1328563697.4895222,19057654.832438305
Burundi,BDI,2031,28903024.6736563,776.65,22447534112.795166,899792.8,62727133,1408069457.8153393,20198129.57244748
Burundi,BDI,2032,30632679.7566133,776.65,23790870732.973717,899792.8,62727133,1492333112.6530497,21406854.191260472
Burundi,BDI,2033,32465843.2695626,776.65,25214597175.30579,899792.8,62727133,1581639390.5568306,22687912.99324049
Burundi,BDI,2034,34408709.508225396,776.65,26723524239.56325,899792.8,62727133,1676290059.2038078,24045634.701384492
Burundi,BDI,2035,36467843.456,776.65,28322750620.102398,899792.8,62727133,1776604945.0729957,25484607.084163673
Burundi,BDI,2036,38716053.911359,776.65,30068823270.256966,899792.8,62727133,1886131076.4269035,27055710.683049675
Burundi,BDI,2037,41102864.5627423,776.65,31922539762.653805,899792.8,62727133,2002409397.3897734,28723671.4361496
Burundi,BDI,2038,43636819.990259,776.65,33890536245.43465,899792.8,62727133,2125856174.5086997,30494460.50178113
Burundi,BDI,2039,46326991.5398623,776.65,35979857979.43405,899792.8,62727133,2256913336.7970715,32374417.15491731
