Country Name,iso3c,Population,year,Average household size (number of members),gdp_ppp,GDP,average_household_size,num_households,gdp_per_capita,avg_m2_capita,residential_building_stock_m2
Malawi,MWI,26755508,2033,4.28,48.08224926720891,48082249267.20891,4.28,6251286.91588785,1797.0972282495593,1.7970972282495592,48082249.267208904
Malawi,MWI,27364192,2034,4.28,50.54694897743543,50546948977.435425,4.28,6393502.803738317,1847.193185073231,1.847193185073231,50546948.977435425
Malawi,MWI,27975136,2035,4.28,53.13798938,53137989380,4.28,6536246.728971962,1899.472066194781,1.899472066194781,53137989.38
Malawi,MWI,28589069,2036,4.28,55.92921759323963,55929217593.239624,4.28,6679689.018691588,1956.3147576872693,1.9563147576872693,55929217.59323962
Malawi,MWI,29206646,2037,4.28,58.867063227072094,58867063227.0721,4.28,6823982.710280374,2015.5365743492798,2.0155365743492797,58867063.22707209
Malawi,MWI,29825538,2038,4.28,61.9592277900732,61959227790.0732,4.28,6968583.644859812,2077.3884377231752,2.077388437723175,61959227.79007319
Malawi,MWI,30443121,2039,4.28,65.213817335068,65213817335.068,4.28,7112878.738317757,2142.152814590462,2.142152814590462,65213817.335068
Malawi,MWI,31059544,2040,4.28,68.63936370900001,68639363709.00001,4.28,7256902.803738317,2209.9282497193135,2.2099282497193133,68639363.709
Malawi,MWI,31674805,2041,4.28,72.27772533184594,72277725331.84595,4.28,7400655.373831775,2281.8680440762287,2.2818680440762287,72277725.33184595
Malawi,MWI,32289974,2042,4.28,76.10894531734685,76108945317.34685,4.28,7544386.448598131,2357.045729344559,2.357045729344559,76108945.31734684
Malawi,MWI,32904194,2043,4.28,80.14324649432011,80143246494.32011,4.28,7687895.794392523,2435.654448618924,2.435654448618924,80143246.49432011
Malawi,MWI,33515465,2044,4.28,84.39139357230624,84391393572.30624,4.28,7830716.121495327,2517.983670293885,2.517983670293885,84391393.57230625
Malawi,MWI,34126156,2045,4.28,88.864721865,88864721865,4.28,7973400.9345794385,2604.0062017239798,2.60400620172398,88864721.86500001
Malawi,MWI,34735673,2046,4.28,93.56295654872524,93562956548.72523,4.28,8115811.448598131,2693.569707105581,2.693569707105581,93562956.54872523
