Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/19/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Dominican Republic,DOM,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1442.231316,,,,,,,,,,2007.75094,,,,,,,,,,,,,,,2504.486359,,,,,,,
Algeria,DZA,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5850.905764,,,,,,,,,,7652.355836,,,,,,,,,,,,,,,9357.099747,,,,,,,
East Asia & Pacific (excluding high income),EAP,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461070.0698,,,,,,,,,,563864.0878,,,,,,,,,,,,,,,673788.1525,,,,,,,
Early-demographic dividend,EAR,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345302.4569,,,,,,,,,,437778.6974,,,,,,,,,,,,,,,564689.5378,,,,,,,
East Asia & Pacific,EAS,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539108.1318,,,,,,,,,,647364.9156,,,,,,,,,,,,,,,761927.2871,,,,,,,
Europe & Central Asia (excluding high income),ECA,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117024.3126,,,,,,,,,,125680.8699,,,,,,,,,,,,,,,131300.1902,,,,,,,
Europe & Central Asia,ECS,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291322.4066,,,,,,,,,,310468.4739,,,,,,,,,,,,,,,327818.3056,,,,,,,
Ecuador,ECU,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1623.362953,,,,,,,,,,1984.915748,,,,,,,,,,,,,,,2293.845469,,,,,,,
"Egypt, Arab Rep.",EGY,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13257.80075,,,,,,,,,,16023.0859,,,,,,,,,,,,,,,18917.96116,,,,,,,
Euro area,EMU,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115114.7833,,,,,,,,,,123482.2886,,,,,,,,,,,,,,,131942.1274,,,,,,,
Eritrea,ERI,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.4997516,,,,,,,,,,234.8660643,,,,,,,,,,,,,,,331.1918185,,,,,,,
Spain,ESP,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12524.45403,,,,,,,,,,13941.63308,,,,,,,,,,,,,,,15655.06941,,,,,,,
Estonia,EST,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.3463166,,,,,,,,,,435.3525976,,,,,,,,,,,,,,,449.9723276,,,,,,,
Ethiopia,ETH,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800.538223,,,,,,,,,,3934.94802,,,,,,,,,,,,,,,5760.664715,,,,,,,
European Union,EUU,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150458.8779,,,,,,,,,,160018.4799,,,,,,,,,,,,,,,169850.4715,,,,,,,
Fragile and conflict affected situations,FCS,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73373.59123,,,,,,,,,,89737.02445,,,,,,,,,,,,,,,113378.5086,,,,,,,
Finland,FIN,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995.716936,,,,,,,,,,2121.497193,,,,,,,,,,,,,,,2242.659442,,,,,,,
Fiji,FJI,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44603656,,,,,,,,,,83.80931876,,,,,,,,,,,,,,,117.2567813,,,,,,,
France,FRA,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19344.02534,,,,,,,,,,20827.76095,,,,,,,,,,,,,,,23030.66088,,,,,,,
Faroe Islands,FRO,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,
"Micronesia, Fed. Sts.",FSM,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.395958186,,,,,,,,,,4.395958186,,,,,,,,,,,,,,,7.519302932,,,,,,,
Gabon,GAB,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.8332941,,,,,,,,,,268.9922746,,,,,,,,,,,,,,,311.5999701,,,,,,,
United Kingdom,GBR,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21541.50308,,,,,,,,,,21830.39151,,,,,,,,,,,,,,,22675.97625,,,,,,,
Georgia,GEO,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1413.324672,,,,,,,,,,1348.864918,,,,,,,,,,,,,,,1130.16341,,,,,,,
Ghana,GHA,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3298.283847,,,,,,,,,,4195.592186,,,,,,,,,,,,,,,5559.549789,,,,,,,
Gibraltar,GIB,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.398828952,,,,,,,,,,7.398828952,,,,,,,,,,,,,,,7.398828952,,,,,,,
Guinea,GIN,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810.732821,,,,,,,,,,1090.315915,,,,,,,,,,,,,,,1390.663579,,,,,,,
"Gambia, The",GMB,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.6985473,,,,,,,,,,258.0976892,,,,,,,,,,,,,,,338.7489128,,,,,,,
Guinea-Bissau,GNB,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.1412344,,,,,,,,,,164.2467832,,,,,,,,,,,,,,,196.2640069,,,,,,,
Equatorial Guinea,GNQ,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.26024407,,,,,,,,,,104.6163745,,,,,,,,,,,,,,,136.7343442,,,,,,,
Greece,GRC,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2370.87957,,,,,,,,,,2664.3333,,,,,,,,,,,,,,,2748.663461,,,,,,,
Grenada,GRD,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.09126916,,,,,,,,,,63.28370898,,,,,,,,,,,,,,,68.51966222,,,,,,,
Greenland,GRL,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.912475599,,,,,,,,,,2.582968866,,,,,,,,,,,,,,,2.582968866,,,,,,,
Guatemala,GTM,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1587.448322,,,,,,,,,,2177.210795,,,,,,,,,,,,,,,2900.621828,,,,,,,
Guam,GUM,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.92088804,,,,,,,,,,79.73729674,,,,,,,,,,,,,,,83.79810475,,,,,,,
Guyana,GUY,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.3173448,,,,,,,,,,169.319713,,,,,,,,,,,,,,,165.7263754,,,,,,,
High income,HIC,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427353.4929,,,,,,,,,,467871.8523,,,,,,,,,,,,,,,511226.1276,,,,,,,
"Hong Kong SAR, China",HKG,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445.3223399,,,,,,,,,,484.3733415,,,,,,,,,,,,,,,516.713727,,,,,,,
Honduras,HND,Urban land area (sq. km),AG.LND.TOTL.UR.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817.1370564,,,,,,,,,,1125.800975,,,,,,,,,,,,,,,1576.928238,,,,,,,
