Country Name,iso3c,year,total_building_stock_m2,BEC (toe/m2),BCE (tCO2e/m2),DBE (tCO2e/m2),Building Energy Consumption (toe),Building Carbon Emissions (tCO2e),Direct Building Emissions (tCO2e)
Serbia,SRB,2042,181590945.3191221,0.004270395860218877,0.26140681782870173,0.025915331077845428,775465.2211440115,47469111.16237749,4705989.468683975
Serbia,SRB,2043,185230903.33426905,0.004270395860218877,0.26140681782870173,0.025915331077845428,791009.2827832655,48420621.00414713,4800320.185755965
Serbia,SRB,2044,188943823.6566981,0.004270395860218877,0.26140681782870173,0.025915331077845428,806864.9223574891,49391203.69048483,4896541.745177374
Serbia,SRB,2045,192731168.80280703,0.004270395860218877,0.26140681782870173,0.025915331077845428,823038.3853906527,50381241.53314814,4994692.048544859
Serbia,SRB,2046,195975131.79027623,0.004270395860218877,0.26140681782870173,0.025915331077845428,836891.3915030444,51229235.57485655,5078760.423369399
Serbia,SRB,2047,199273695.68080348,0.004270395860218877,0.26140681782870173,0.025915331077845428,850977.5650858195,52091502.66488394,5164243.798673838
Serbia,SRB,2048,202627779.4918456,0.004270395860218877,0.26140681782870173,0.025915331077845428,865300.830707321,52968283.04065923,5251165.991099837
Serbia,SRB,2049,206038317.70934147,0.004270395860218877,0.26140681782870173,0.025915331077845428,879865.1789924335,53859820.983178,5339551.218159887
Serbia,SRB,2050,209506260.54807016,0.004270395860218877,0.26140681782870173,0.025915331077845428,894674.6677344162,54766364.8850619,5429424.104984584
Sao Tome and Principe,STP,2020,428715.79507389176,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,STP,2021,439449.09081480926,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,STP,2022,450451.1045241006,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,STP,2023,461728.56380419753,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,STP,2024,473288.3646892697,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,STP,2025,485137.57586206903,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,STP,2026,506354.7735804599,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,STP,2027,528499.8925760704,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,STP,2028,551613.5149233175,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,STP,2029,575737.997529035,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,STP,2030,600917.5497536947,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,STP,2031,628176.3991314936,NA,NA,NA,NA,NA,NA
