Country,iso3c,Year,extraction_5.4
Sri Lanka,LKA,2035,60259330.7634995
Sri Lanka,LKA,2036,61244162.149743795
Sri Lanka,LKA,2037,62228993.53598809
Sri Lanka,LKA,2038,63213824.92223239
Sri Lanka,LKA,2039,64198656.308476925
Sri Lanka,LKA,2040,65183487.69472122
Sri Lanka,LKA,2041,66168319.08096552
Sri Lanka,LKA,2042,67153150.46720982
Sri Lanka,LKA,2043,68137981.85345411
Sri Lanka,LKA,2044,69122813.23969841
Sri Lanka,LKA,2045,70107644.62594295
Sri Lanka,LKA,2046,71092476.01218724
Sri Lanka,LKA,2047,72077307.39843154
Sri Lanka,LKA,2048,73062138.78467584
Sri Lanka,LKA,2049,74046970.17092013
Sri Lanka,LKA,2050,75031801.55716443
Sudan,SDN,2021,17216529.62431383
Sudan,SDN,2022,17692373.63173461
Sudan,SDN,2023,18168217.639155507
Sudan,SDN,2024,18644061.646576285
Sudan,SDN,2025,19119905.653997064
Sudan,SDN,2026,19595749.661417842
Sudan,SDN,2027,20071593.66883874
Sudan,SDN,2028,20547437.676259518
Sudan,SDN,2029,21023281.683680296
Sudan,SDN,2030,21499125.691101074
Sudan,SDN,2031,21974969.69852197
Sudan,SDN,2032,22450813.70594275
Sudan,SDN,2033,22926657.71336353
Sudan,SDN,2034,23402501.720784307
Sudan,SDN,2035,23878345.728205204
Sudan,SDN,2036,24354189.735625982
Sudan,SDN,2037,24830033.74304676
Sudan,SDN,2038,25305877.75046754
Sudan,SDN,2039,25781721.757888436
Sudan,SDN,2040,26257565.765309215
Sudan,SDN,2041,26733409.772729993
Sudan,SDN,2042,27209253.78015077
Sudan,SDN,2043,27685097.78757167
Sudan,SDN,2044,28160941.794992447
Sudan,SDN,2045,28636785.802413225
Sudan,SDN,2046,29112629.809834003
Sudan,SDN,2047,29588473.8172549
Sudan,SDN,2048,30064317.82467568
Sudan,SDN,2049,30540161.832096457
Sudan,SDN,2050,31016005.839517355
Sudan (Former),SDN,2021,7603143.556862831
Sudan (Former),SDN,2022,7709267.635595858
Sudan (Former),SDN,2023,7815391.714328885
Sudan (Former),SDN,2024,7921515.793061942
Sudan (Former),SDN,2025,8027639.871794969
Sudan (Former),SDN,2026,8133763.950527996
Sudan (Former),SDN,2027,8239888.029261023
Sudan (Former),SDN,2028,8346012.10799405
Sudan (Former),SDN,2029,8452136.186727077
Sudan (Former),SDN,2030,8558260.265460104
Sudan (Former),SDN,2031,8664384.34419316
Sudan (Former),SDN,2032,8770508.422926188
Sudan (Former),SDN,2033,8876632.501659214
Sudan (Former),SDN,2034,8982756.580392241
Sudan (Former),SDN,2035,9088880.659125268
Sudan (Former),SDN,2036,9195004.737858295
Sudan (Former),SDN,2037,9301128.816591322
Sudan (Former),SDN,2038,9407252.89532438
Sudan (Former),SDN,2039,9513376.974057406
Sudan (Former),SDN,2040,9619501.052790433
Sudan (Former),SDN,2041,9725625.13152346
Sudan (Former),SDN,2042,9831749.210256487
Sudan (Former),SDN,2043,9937873.288989514
Sudan (Former),SDN,2044,10043997.367722541
Sudan (Former),SDN,2045,10150121.446455598
Sudan (Former),SDN,2046,10256245.525188625
Sudan (Former),SDN,2047,10362369.603921652
Sudan (Former),SDN,2048,10468493.682654679
Sudan (Former),SDN,2049,10574617.761387706
Sudan (Former),SDN,2050,10680741.840120733
Suriname,SUR,2021,1509163.6870588325
Suriname,SUR,2022,1523009.8967420906
Suriname,SUR,2023,1536856.1064253487
Suriname,SUR,2024,1550702.3161086068
Suriname,SUR,2025,1564548.5257918648
Suriname,SUR,2026,1578394.735475123
Suriname,SUR,2027,1592240.945158381
Suriname,SUR,2028,1606087.154841639
Suriname,SUR,2029,1619933.3645248972
Suriname,SUR,2030,1633779.5742081553
Suriname,SUR,2031,1647625.7838914134
Suriname,SUR,2032,1661471.9935746714
Suriname,SUR,2033,1675318.2032579295
Suriname,SUR,2034,1689164.4129411876
Suriname,SUR,2035,1703010.6226244457
Suriname,SUR,2036,1716856.8323077038
Suriname,SUR,2037,1730703.0419909619
Suriname,SUR,2038,1744549.25167422
Suriname,SUR,2039,1758395.461357478
Suriname,SUR,2040,1772241.6710407361
Suriname,SUR,2041,1786087.8807239942
Suriname,SUR,2042,1799934.0904072523
Suriname,SUR,2043,1813780.3000905104
Suriname,SUR,2044,1827626.5097737685
Suriname,SUR,2045,1841472.7194570266
Suriname,SUR,2046,1855318.9291402847
Suriname,SUR,2047,1869165.1388235427
Suriname,SUR,2048,1883011.3485068008
Suriname,SUR,2049,1896857.558190059
Suriname,SUR,2050,1910703.767873317
Swaziland,SWZ,2021,1621450.5466666818
Swaziland,SWZ,2022,1661962.1551734656
Swaziland,SWZ,2023,1702473.7636802495
Swaziland,SWZ,2024,1742985.3721870333
Swaziland,SWZ,2025,1783496.9806938171
Swaziland,SWZ,2026,1824008.5892006159
Swaziland,SWZ,2027,1864520.1977073997
Swaziland,SWZ,2028,1905031.8062141836
Swaziland,SWZ,2029,1945543.4147209674
Swaziland,SWZ,2030,1986055.0232277513
Swaziland,SWZ,2031,2026566.63173455
Swaziland,SWZ,2032,2067078.2402413338
Swaziland,SWZ,2033,2107589.8487481177
Swaziland,SWZ,2034,2148101.4572549015
Swaziland,SWZ,2035,2188613.0657616854
Swaziland,SWZ,2036,2229124.674268484
Swaziland,SWZ,2037,2269636.282775268
Swaziland,SWZ,2038,2310147.891282052
Swaziland,SWZ,2039,2350659.4997888356
Swaziland,SWZ,2040,2391171.1082956195
Swaziland,SWZ,2041,2431682.7168024182
Swaziland,SWZ,2042,2472194.325309202
Swaziland,SWZ,2043,2512705.933815986
Swaziland,SWZ,2044,2553217.5423227698
Swaziland,SWZ,2045,2593729.1508295536
Swaziland,SWZ,2046,2634240.7593363523
Swaziland,SWZ,2047,2674752.367843136
Swaziland,SWZ,2048,2715263.97634992
Swaziland,SWZ,2049,2755775.584856704
Swaziland,SWZ,2050,2796287.1933634877
Sweden,SWE,2021,94917790.36313772
Sweden,SWE,2022,96013318.378613
Sweden,SWE,2023,97108846.39408779
Sweden,SWE,2024,98204374.40956306
Sweden,SWE,2025,99299902.42503786
Sweden,SWE,2026,100395430.44051313
Sweden,SWE,2027,101490958.4559884
Sweden,SWE,2028,102586486.4714632
Sweden,SWE,2029,103682014.48693848
Sweden,SWE,2030,104777542.50241375
Sweden,SWE,2031,105873070.51788855
Sweden,SWE,2032,106968598.53336382
Sweden,SWE,2033,108064126.54883862
Sweden,SWE,2034,109159654.56431389
Sweden,SWE,2035,110255182.57978916
Sweden,SWE,2036,111350710.59526396
Sweden,SWE,2037,112446238.61073923
Sweden,SWE,2038,113541766.6262145
Sweden,SWE,2039,114637294.6416893
Sweden,SWE,2040,115732822.65716457
Sweden,SWE,2041,116828350.67263985
Sweden,SWE,2042,117923878.68811464
Sweden,SWE,2043,119019406.70358992
Sweden,SWE,2044,120114934.71906471
Sweden,SWE,2045,121210462.73453999
Sweden,SWE,2046,122305990.75001526
Sweden,SWE,2047,123401518.76549006
Sweden,SWE,2048,124497046.78096533
Sweden,SWE,2049,125592574.7964406
Sweden,SWE,2050,126688102.8119154
Switzerland,CHE,2021,46577718.93019605
Switzerland,CHE,2022,46616158.209562555
Switzerland,CHE,2023,46654597.48892908
Switzerland,CHE,2024,46693036.768295586
Switzerland,CHE,2025,46731476.047662094
Switzerland,CHE,2026,46769915.32702862
Switzerland,CHE,2027,46808354.606395125
Switzerland,CHE,2028,46846793.88576163
Switzerland,CHE,2029,46885233.16512816
Switzerland,CHE,2030,46923672.444494665
Switzerland,CHE,2031,46962111.72386117
Switzerland,CHE,2032,47000551.003227696
Switzerland,CHE,2033,47038990.282594204
Switzerland,CHE,2034,47077429.56196071
Switzerland,CHE,2035,47115868.841327235
Switzerland,CHE,2036,47154308.12069374
Switzerland,CHE,2037,47192747.40006025
Switzerland,CHE,2038,47231186.679426774
Switzerland,CHE,2039,47269625.95879328
Switzerland,CHE,2040,47308065.23815979
Switzerland,CHE,2041,47346504.51752631
Switzerland,CHE,2042,47384943.79689282
Switzerland,CHE,2043,47423383.07625933
Switzerland,CHE,2044,47461822.35562585
Switzerland,CHE,2045,47500261.63499236
Switzerland,CHE,2046,47538700.91435887
Switzerland,CHE,2047,47577140.19372539
Switzerland,CHE,2048,47615579.4730919
Switzerland,CHE,2049,47654018.75245841
Switzerland,CHE,2050,47692458.03182493
Syria,SYR,2021,84552983.04313803
Syria,SYR,2022,85987995.3291111
Syria,SYR,2023,87423007.6150837
Syria,SYR,2024,88858019.90105677
Syria,SYR,2025,90293032.18702936
Syria,SYR,2026,91728044.47300243
Syria,SYR,2027,93163056.75897503
Syria,SYR,2028,94598069.0449481
Syria,SYR,2029,96033081.3309207
Syria,SYR,2030,97468093.61689377
Syria,SYR,2031,98903105.90286636
Syria,SYR,2032,100338118.18883944
Syria,SYR,2033,101773130.47481203
Syria,SYR,2034,103208142.7607851
Syria,SYR,2035,104643155.0467577
Syria,SYR,2036,106078167.33273077
Syria,SYR,2037,107513179.61870337
Syria,SYR,2038,108948191.90467644
Syria,SYR,2039,110383204.19064903
Syria,SYR,2040,111818216.4766221
Syria,SYR,2041,113253228.7625947
Syria,SYR,2042,114688241.04856777
Syria,SYR,2043,116123253.33454037
Syria,SYR,2044,117558265.62051344
Syria,SYR,2045,118993277.90648603
Syria,SYR,2046,120428290.1924591
Syria,SYR,2047,121863302.4784317
Syria,SYR,2048,123298314.76440477
Syria,SYR,2049,124733327.05037785
Syria,SYR,2050,126168339.33635044
Taiwan,TWN,2021,181383213.8470602
Taiwan,TWN,2022,183130545.0493226
Taiwan,TWN,2023,184877876.251585
Taiwan,TWN,2024,186625207.4538479
Taiwan,TWN,2025,188372538.6561103
Taiwan,TWN,2026,190119869.8583727
Taiwan,TWN,2027,191867201.0606351
Taiwan,TWN,2028,193614532.2628975
Taiwan,TWN,2029,195361863.4651599
Taiwan,TWN,2030,197109194.6674223
Taiwan,TWN,2031,198856525.8696847
Taiwan,TWN,2032,200603857.0719471
Taiwan,TWN,2033,202351188.2742095
Taiwan,TWN,2034,204098519.47647238
Taiwan,TWN,2035,205845850.67873478
Taiwan,TWN,2036,207593181.88099718
Taiwan,TWN,2037,209340513.08325958
Taiwan,TWN,2038,211087844.28552198
Taiwan,TWN,2039,212835175.4877844
Taiwan,TWN,2040,214582506.6900468
Taiwan,TWN,2041,216329837.8923092
Taiwan,TWN,2042,218077169.0945716
Taiwan,TWN,2043,219824500.296834
Taiwan,TWN,2044,221571831.49909687
Taiwan,TWN,2045,223319162.70135927
Taiwan,TWN,2046,225066493.90362167
Taiwan,TWN,2047,226813825.10588408
Taiwan,TWN,2048,228561156.30814648
Taiwan,TWN,2049,230308487.51040888
Taiwan,TWN,2050,232055818.71267128
Tajikistan,TJK,2021,11925674.679803014
Tajikistan,TJK,2022,12377882.125123143
Tajikistan,TJK,2023,12830089.570443392
Tajikistan,TJK,2024,13282297.015763521
Tajikistan,TJK,2025,13734504.46108377
Tajikistan,TJK,2026,14186711.906404018
Tajikistan,TJK,2027,14638919.351724148
Tajikistan,TJK,2028,15091126.797044396
Tajikistan,TJK,2029,15543334.242364526
Tajikistan,TJK,2030,15995541.687684774
Tajikistan,TJK,2031,16447749.133004904
Tajikistan,TJK,2032,16899956.578325152
Tajikistan,TJK,2033,17352164.0236454
Tajikistan,TJK,2034,17804371.46896553
Tajikistan,TJK,2035,18256578.91428578
Tajikistan,TJK,2036,18708786.35960591
Tajikistan,TJK,2037,19160993.804926157
Tajikistan,TJK,2038,19613201.250246286
Tajikistan,TJK,2039,20065408.695566535
Tajikistan,TJK,2040,20517616.140886664
Tajikistan,TJK,2041,20969823.586206913
Tajikistan,TJK,2042,21422031.03152716
Tajikistan,TJK,2043,21874238.47684729
Tajikistan,TJK,2044,22326445.92216754
Tajikistan,TJK,2045,22778653.36748767
Tajikistan,TJK,2046,23230860.812807918
Tajikistan,TJK,2047,23683068.258128047
Tajikistan,TJK,2048,24135275.703448296
Tajikistan,TJK,2049,24587483.148768544
Tajikistan,TJK,2050,25039690.594088674
Tanzania,TZA,2021,25741225.91529441
Tanzania,TZA,2022,26324047.71294141
Tanzania,TZA,2023,26906869.510588408
Tanzania,TZA,2024,27489691.308235645
Tanzania,TZA,2025,28072513.105882645
Tanzania,TZA,2026,28655334.903529644
Tanzania,TZA,2027,29238156.701176643
Tanzania,TZA,2028,29820978.49882388
Tanzania,TZA,2029,30403800.29647088
Tanzania,TZA,2030,30986622.09411788
Tanzania,TZA,2031,31569443.89176488
Tanzania,TZA,2032,32152265.68941188
Tanzania,TZA,2033,32735087.487059116
Tanzania,TZA,2034,33317909.284706116
Tanzania,TZA,2035,33900731.082353115
Tanzania,TZA,2036,34483552.880000114
Tanzania,TZA,2037,35066374.67764735
Tanzania,TZA,2038,35649196.47529435
Tanzania,TZA,2039,36232018.27294135
Tanzania,TZA,2040,36814840.07058835
Tanzania,TZA,2041,37397661.86823535
Tanzania,TZA,2042,37980483.66588259
Tanzania,TZA,2043,38563305.46352959
Tanzania,TZA,2044,39146127.261176586
Tanzania,TZA,2045,39728949.058823586
Tanzania,TZA,2046,40311770.85647082
Tanzania,TZA,2047,40894592.65411782
