,Country Name,iso3c,Population,year,Average household size (number of members),gdp_ppp,GDP,average_household_size,num_households,gdp_per_capita,avg_m2_capita,residential_building_stock_m2,total_building_stock_m2,,
109,Angola,AGO,51321963,2035,4.82,345.5680677,3.45568E+11,4.82,10647710.17,6733.336909,6.733336909,345568067.7,691136135.5,,
110,Angola,AGO,52652827,2036,4.82,361.4544925,3.61454E+11,4.82,10923823.03,6864.863923,6.864863923,361454492.5,722908985,,
111,Angola,AGO,53998512,2037,4.82,378.0712466,3.78071E+11,4.82,11203010.79,7001.512312,7.001512312,378071246.6,756142493.2,,
112,Angola,AGO,55355639,2038,4.82,395.4519047,3.95452E+11,4.82,11484572.41,7143.841383,7.143841383,395451904.7,790903809.4,,
113,Angola,AGO,56723291,2039,4.82,413.6315848,4.13632E+11,4.82,11768317.63,7292.094262,7.292094262,413631584.8,827263169.7,,
114,Angola,AGO,58104437,2040,4.82,432.6470196,4.32647E+11,4.82,12054862.45,7446.02378,7.44602378,432647019.6,865294039.3,,
115,Angola,AGO,59498476,2041,4.82,453.9192985,4.53919E+11,4.82,12344082.16,7629.091181,7.629091181,453919298.5,907838597,,
116,Angola,AGO,60898051,2042,4.82,476.2374874,4.76237E+11,4.82,12634450.41,7820.241857,7.820241857,476237487.4,952474974.8,,
117,Angola,AGO,62306440,2043,4.82,499.6530114,4.99653E+11,4.82,12926647.3,8019.283582,8.019283582,499653011.4,999306022.7,,
118,Angola,AGO,63724815,2044,4.82,524.2198239,5.2422E+11,4.82,13220915.98,8226.305935,8.226305935,524219823.9,1048439648,,
119,Angola,AGO,65146245,2045,4.82,549.9945311,5.49995E+11,4.82,13515818.46,8442.459441,8.442459441,549994531.1,1099989062,,
120,Angola,AGO,66573219,2046,4.82,577.8909747,5.77891E+11,4.82,13811871.16,8680.532252,8.680532252,577890974.7,1155781949,,
121,Angola,AGO,68005916,2047,4.82,607.2023624,6.07202E+11,4.82,14109111.2,8928.669711,8.928669711,607202362.4,1214404725,,
122,Angola,AGO,69442324,2048,4.82,638.0004621,6.38E+11,4.82,14407121.16,9187.487188,9.187487188,638000462.1,1276000924,,
123,Angola,AGO,70883694,2049,4.82,670.3606817,6.70361E+11,4.82,14706160.58,9457.191688,9.457191688,670360681.7,1340721363,,
124,Angola,AGO,72328068,2050,4.82,704.3622542,7.04362E+11,4.82,15005823.24,9738.435903,9.738435903,704362254.2,1408724508,,
125,Argentina,ARG,45376763,2020,2.95,890.5474623,8.90547E+11,2.95,15381953.56,19625.62782,19.62562782,890547462.3,1781094925,,
126,Argentina,ARG,45808747,2021,2.95,921.5699161,9.2157E+11,2.95,15528388.81,20117.77175,20.11777175,921569916.1,1843139832,,
127,Argentina,ARG,46234830,2022,2.95,953.6730452,9.53673E+11,2.95,15672823.73,20626.7233,20.6267233,953673045.2,1907346090,,
128,Argentina,ARG,46519252,2023,2.95,986.8944952,9.86894E+11,2.95,15769237.97,21214.75417,21.21475417,986894495.2,1973788990,,
129,Argentina,ARG,46799296,2024,2.95,1021.273223,1.02127E+12,2.95,15864168.14,21822.40568,21.82240568,1021273223,2042546446,,
